#weight	occ	cum	dcum	dCDF
<blockquote class='information'>	NA	0	14478	      1
<font color='#006600'><b>Information: </b>Input files<br>	NA	0	14478	      1
	NA	0	14478	      1
</blockquote><br><hr size=3>	NA	0	14478	      1
-38.5	1	1	14478	      1
-38.4	0	1	14477	0.999931
-38.3	2	3	14477	0.999931
-38.2	0	3	14475	0.999793
-38.1	0	3	14475	0.999793
-38	1	4	14475	0.999793
-37.9	1	5	14474	0.999724
-37.8	0	5	14473	0.999655
-37.7	0	5	14473	0.999655
-37.6	0	5	14473	0.999655
-37.5	0	5	14473	0.999655
-37.4	0	5	14473	0.999655
-37.3	0	5	14473	0.999655
-37.2	0	5	14473	0.999655
-37.1	0	5	14473	0.999655
-37	0	5	14473	0.999655
-36.9	1	6	14473	0.999655
-36.8	1	7	14472	0.999586
-36.7	0	7	14471	0.999517
-36.6	0	7	14471	0.999517
-36.5	0	7	14471	0.999517
-36.4	2	9	14471	0.999517
-36.3	2	11	14469	0.999378
-36.2	0	11	14467	0.99924
-36.1	0	11	14467	0.99924
-36	2	13	14467	0.99924
-35.9	0	13	14465	0.999102
-35.8	1	14	14465	0.999102
-35.7	2	16	14464	0.999033
-35.6	0	16	14462	0.998895
-35.5	1	17	14462	0.998895
-35.4	1	18	14461	0.998826
-35.3	2	20	14460	0.998757
-35.2	0	20	14458	0.998619
-35.1	1	21	14458	0.998619
-35	4	25	14457	0.99855
-34.9	0	25	14453	0.998273
-34.8	1	26	14453	0.998273
-34.7	2	28	14452	0.998204
-34.6	1	29	14450	0.998066
-34.5	2	31	14449	0.997997
-34.4	1	32	14447	0.997859
-34.3	4	36	14446	0.99779
-34.2	1	37	14442	0.997513
-34.1	1	38	14441	0.997444
-34	3	41	14440	0.997375
-33.9	4	45	14437	0.997168
-33.8	2	47	14433	0.996892
-33.7	3	50	14431	0.996754
-33.6	4	54	14428	0.996546
-33.5	2	56	14424	0.99627
-33.4	2	58	14422	0.996132
-33.3	1	59	14420	0.995994
-33.2	2	61	14419	0.995925
-33.1	5	66	14417	0.995787
-33	4	70	14412	0.995441
-32.9	2	72	14408	0.995165
-32.8	7	79	14406	0.995027
-32.7	1	80	14399	0.994543
-32.6	3	83	14398	0.994474
-32.5	5	88	14395	0.994267
-32.4	3	91	14390	0.993922
-32.3	3	94	14387	0.993715
-32.2	4	98	14384	0.993507
-32.1	3	101	14380	0.993231
-32	4	105	14377	0.993024
-31.9	4	109	14373	0.992748
-31.8	5	114	14369	0.992471
-31.7	8	122	14364	0.992126
-31.6	5	127	14356	0.991573
-31.5	5	132	14351	0.991228
-31.4	6	138	14346	0.990883
-31.3	9	147	14340	0.990468
-31.2	8	155	14331	0.989847
-31.1	10	165	14323	0.989294
-31	8	173	14313	0.988603
-30.9	7	180	14305	0.988051
-30.8	13	193	14298	0.987567
-30.7	7	200	14285	0.986669
-30.6	6	206	14278	0.986186
-30.5	10	216	14272	0.985772
-30.4	13	229	14262	0.985081
-30.3	7	236	14249	0.984183
-30.2	8	244	14242	0.983699
-30.1	5	249	14234	0.983147
-30	14	263	14229	0.982801
-29.9	9	272	14215	0.981835
-29.8	14	286	14206	0.981213
-29.7	9	295	14192	0.980246
-29.6	18	313	14183	0.979624
-29.5	16	329	14165	0.978381
-29.4	12	341	14149	0.977276
-29.3	11	352	14137	0.976447
-29.2	13	365	14126	0.975687
-29.1	8	373	14113	0.974789
-29	11	384	14105	0.974237
-28.9	15	399	14094	0.973477
-28.8	22	421	14079	0.972441
-28.7	10	431	14057	0.970921
-28.6	13	444	14047	0.970231
-28.5	17	461	14034	0.969333
-28.4	26	487	14017	0.968159
-28.3	19	506	13991	0.966363
-28.2	16	522	13972	0.96505
-28.1	16	538	13956	0.963945
-28	26	564	13940	0.96284
-27.9	33	597	13914	0.961044
-27.8	22	619	13881	0.958765
-27.7	17	636	13859	0.957245
-27.6	22	658	13842	0.956071
-27.5	23	681	13820	0.954552
-27.4	20	701	13797	0.952963
-27.3	27	728	13777	0.951582
-27.2	29	757	13750	0.949717
-27.1	29	786	13721	0.947714
-27	28	814	13692	0.945711
