#score	occ	co	cco	dCDF
-3	3	14263	215	0.0148501
-2.9	8	14271	207	0.0142976
-2.8	3	14274	204	0.0140903
-2.7	7	14281	197	0.0136069
-2.6	10	14291	187	0.0129161
-2.5	12	14303	175	0.0120873
-2.4	11	14314	164	0.0113275
-2.3	7	14321	157	0.010844
-2.2	3	14324	154	0.0106368
-2.1	2	14326	152	0.0104987
-2	4	14330	148	0.0102224
-1.9	6	14336	142	0.00980798
-1.8	6	14342	136	0.00939356
-1.7	4	14346	132	0.00911728
-1.6	5	14351	127	0.00877193
-1.5	7	14358	120	0.00828844
-1.4	4	14362	116	0.00801216
-1.3	3	14365	113	0.00780495
-1.2	6	14371	107	0.00739052
-1.1	2	14373	105	0.00725238
-1	3	14376	102	0.00704517
-0.9	7	14383	95	0.00656168
-0.8	1	14384	94	0.00649261
-0.7	3	14387	91	0.0062854
-0.6	2	14389	89	0.00614726
-0.5	1	14390	88	0.00607819
-0.4	2	14392	86	0.00594005
-0.3	7	14399	79	0.00545655
-0.2	1	14400	78	0.00538748
-0.1	5	14405	73	0.00504213
0	2	14407	71	0.00490399
0.1	0	14407	71	0.00490399
0.2	1	14408	70	0.00483492
0.3	2	14410	68	0.00469678
0.4	3	14413	65	0.00448957
0.5	2	14415	63	0.00435143
0.6	4	14419	59	0.00407515
0.7	0	14419	59	0.00407515
0.8	3	14422	56	0.00386794
0.9	3	14425	53	0.00366073
1	3	14428	50	0.00345352
1.1	3	14431	47	0.0032463
1.2	0	14431	47	0.0032463
1.3	1	14432	46	0.00317723
1.4	0	14432	46	0.00317723
1.5	0	14432	46	0.00317723
1.6	0	14432	46	0.00317723
1.7	2	14434	44	0.00303909
1.8	0	14434	44	0.00303909
1.9	0	14434	44	0.00303909
2	2	14436	42	0.00290095
2.1	2	14438	40	0.00276281
2.2	2	14440	38	0.00262467
2.3	0	14440	38	0.00262467
2.4	1	14441	37	0.0025556
2.5	1	14442	36	0.00248653
2.6	0	14442	36	0.00248653
2.7	1	14443	35	0.00241746
2.8	1	14444	34	0.00234839
2.9	0	14444	34	0.00234839
3	0	14444	34	0.00234839
3.1	2	14446	32	0.00221025
3.2	0	14446	32	0.00221025
3.3	2	14448	30	0.00207211
3.4	1	14449	29	0.00200304
3.5	0	14449	29	0.00200304
3.6	0	14449	29	0.00200304
3.7	0	14449	29	0.00200304
3.8	0	14449	29	0.00200304
3.9	0	14449	29	0.00200304
4	0	14449	29	0.00200304
4.1	0	14449	29	0.00200304
4.2	1	14450	28	0.00193397
4.3	0	14450	28	0.00193397
4.4	0	14450	28	0.00193397
4.5	0	14450	28	0.00193397
4.6	2	14452	26	0.00179583
4.7	0	14452	26	0.00179583
4.8	0	14452	26	0.00179583
4.9	1	14453	25	0.00172676
5	0	14453	25	0.00172676
5.1	0	14453	25	0.00172676
5.2	0	14453	25	0.00172676
5.3	0	14453	25	0.00172676
5.4	0	14453	25	0.00172676
5.5	0	14453	25	0.00172676
5.6	1	14454	24	0.00165769
5.7	0	14454	24	0.00165769
5.8	2	14456	22	0.00151955
5.9	0	14456	22	0.00151955
6	0	14456	22	0.00151955
6.1	0	14456	22	0.00151955
6.2	0	14456	22	0.00151955
6.3	0	14456	22	0.00151955
6.4	0	14456	22	0.00151955
6.5	0	14456	22	0.00151955
6.6	0	14456	22	0.00151955
6.7	0	14456	22	0.00151955
6.8	0	14456	22	0.00151955
6.9	1	14457	21	0.00145048
7	0	14457	21	0.00145048
7.1	0	14457	21	0.00145048
7.2	0	14457	21	0.00145048
7.3	0	14457	21	0.00145048
7.4	0	14457	21	0.00145048
7.5	0	14457	21	0.00145048
7.6	1	14458	20	0.00138141
7.7	0	14458	20	0.00138141
7.8	0	14458	20	0.00138141
7.9	0	14458	20	0.00138141
8	0	14458	20	0.00138141
8.1	0	14458	20	0.00138141
8.2	0	14458	20	0.00138141
8.3	0	14458	20	0.00138141
8.4	0	14458	20	0.00138141
8.5	0	14458	20	0.00138141
8.6	0	14458	20	0.00138141
8.7	0	14458	20	0.00138141
8.8	0	14458	20	0.00138141
8.9	0	14458	20	0.00138141
9	0	14458	20	0.00138141
9.1	0	14458	20	0.00138141
9.2	0	14458	20	0.00138141
9.3	0	14458	20	0.00138141
9.4	1	14459	19	0.00131234
9.5	0	14459	19	0.00131234
9.6	0	14459	19	0.00131234
9.7	0	14459	19	0.00131234
